킥백|상체|몸을 앞으로 기울인 상태에서 상완을 고정하고 팔꿈치만 뒤로 펴는 동작입니다. 주로 덤벨을 활용하여 동작을 진행하며, 외측두를 단련하기 좋은 운동입니다.|양손으로 동시에 진행할 경우 허리에 무리가 갈 수 있으며, 팔꿈치를 굽힐 때는 수직 직전까지만 굽혀줍니다.|8회|2set
데드리프트|전신|전신의 70% 이상을 단련할 수 있으며 신체 전반의 밸런스를 잡아준다는 장점이 있습니다. 일반 복근 운동으로 단련시키기 어려운 내복사근을 단련시키기에도 좋은 운동이에요!|상체 각도를 유지하고 엉덩이부터 솟구쳐 올라가지 않도록 합니다. 몸을 곧게 세운 상태에서 배가 앞으로 나가거나 어깨를 뒤로 당기지 않도록 해주세요.|5회|1set
백 익스텐션|상체|허리 뒷면의 지지 근육들을 타깃으로 하는 운동이며, 몸의 변화보다는 기초적인 지지력과 허리 건강을 위해 실시하는 운동입니다. 바벨 등을 활용해 난이도를 조절할 수 있어요.|상체를 들어올릴 때, 허리가 너무 과하게 젖혀져 무리가 가지 않도록 주의하세요. 빠르지 않게 느린 동작으로 진행해주는게 좋습니다.|8회|2set
싯업|상체|가장 대중적인 복근 운동입니다. 하지만 척추에 큰 압박을 주는 동작이므로, 크런치나 레그레이즈를 활용하는 경우가 더 많습니다.|목이 과긴장되어 목만 말아올리지 않도록 하며, 허리에 이상이 있는 분들은 싯업을 지양해주시기 바랍니다.|8회|3set
크런치|상체|싯업보다 상체 근육에 좀더 집중하는 동작입니다. 허리 부담이 적고, 내려올 때 천천히 내려오도록 합니다. 트위스트 동작을 추가하여 복사근 관여를 높여줄 수도 있어요.|고개만 들어올려 목에 긴장이 되지 않도록 주의해주시고, 허리가 떠서 요추에 무리가 가지 않도록 해주세요.|10회|3set
바이시클 메뉴버|상체|바이시클 크런치라고도 불리며, 다른 복근 운동보다 허리에 부담이 적으면서 효과는 좋기로 유명한 운동입니다. 척추 기립근도 단련이 되어 있어야 부상을 예방할 수 있어요.|목 디스크나 거북목이 있는 분들은 동작 수행에 주의해주시고, 목에 너무 과긴장이 되지 않도록 목 근육으로 버텨주셔야 합니다.|10회|3set
버티컬 레그 레이즈|상체|딥머신 기구를 활용하여 공중에 몸을 띄운 상태에서 진행하는 레그레이즈 동작입니다. 골반을 말아 무릎을 높이 올릴수록 강도가 강해져요!|삼두근에 힘이 부족해 어깨와 귀가 너무 가까워지지 않도록 주의해주세요. 다리를 들어올릴 때, 반동을 사용하지 않도록 해주세요.|10회|2set
플랭크|전신|허리와 복근을 비롯한 코어운동에 좋은 동작이며, 머리부터 발끝까지 일직선으로 유지하는 것이 중요합니다. 다리를 드는 동작 등으로 활용하여 난이도를 높여줄 수 있어요.|엉덩이가 위로 번쩍 들리거나 바닥쪽으로 쳐지지 않도록 허리와 배, 몸통 전체적으로 힘을 주어 버텨줍니다. 견갑골 뒤쪽이 움푹 패이지 않도록 팔과 어깨로 땅을 밀어내 유지해줍니다.|1분|1set
스쿼트|상체|활용에 따라 상하체를 골고루 사용할 수 있는 동작이며, 대표적인 무산소 운동 중 하나입니다. 바벨, 덤벨, 스미스 머신 등을 활용하여 다양하게 변형이 가능합니다.|앉는 자세에서 무릎이 모이지 않도록 주의해주시고, 앉은 자세에서 엉덩이가 안쪽으로 말리지 않도록 주의해주세요!|8회|3set
레그 프레스|하체|대퇴사두근을 효율적으로 단련하는 운동으로, 활용에 따라 다양한 근육을 추가로 자극시킬 수 있습니다.|허리 하부나 엉덩이가 등판에서 뜨지 않도록 주의해주시고, 무릎은 완전히 펴지 않도록 해주세요!|10회|3set
레그 익스텐션|하체|대퇴사구든을 단련하는 운동으로, 주로 스쿼트나 레그 프레스의 보조운동으로 활용할 수 있습니다. 대퇴 전면에 비해 후면이 약한 초보자들은 밸런스에 맞춰 진행하시는 것이 좋습니다!|패드를 각 부분에 밀착되게 세팅해야 관절 부담이 적고 집중하기 쉽습니다. 바른 자세를 유지하여 운동하는 것이 중요해요!|10회|2set
런지|하체|스쿼트보다 둔근과 햄스트링의 비중이 높은 운동입니다. 덤벨을 활용하여 중량을 추가해 진행해도 좋습니다.|균형을 잘 잡기 위해, 양발을 일직선상에 놓는 것이 아닌 11자로 놓이도록 합니다.|10회|2set
레그 컬|하체|햄스트링을 메인으로 운동하는 동작입니다. 스쿼트나 데드리프트를 할 때에도 햄스트링이 주로 쓰이지는 않기 때문에, 별도의 운동을 해주시는 것이 좋습니다.|햄스트링과 비복근 모두 쥐가 나기 좋은 근육이므로, 충분한 준비운동과 점진적은 증량을 해주세요!|8회|2set
카프 레이즈|하체|종아리를 단련하는 운동으로, 고중량으로 실시하거나 저중량으로 여러 번 반복하여 진행해주세요.|종아리는 스쿼트 같은 근력운도이나 유산소 운동에서 안전 장치의 역할을 하기 때문에 초보 단계에는 굳이 따로 훈련할 필요는 없습니다.|10회|3set
